time,voltage_out1,voltage_out2,speed_kph,acceleration
20.091,1.1,0.55,7.051717139999999,-0.05927071103776882
20.129,1.1,0.55,7.051717139999999,0.20983194252481213
20.171,1.1,0.55,7.051717139999999,0.15370713525498444
20.211,1.1,0.55,7.051717139999999,0.3116518105796587
20.249,1.1,0.55,7.051717139999999,0.3116518105796615
20.293,1.1,0.55,7.12468758,0.3116518105796587
20.333,1.1,0.55,7.12468758,0.3116518105796587
20.373,1.1,0.55,7.12468758,-0.05791304761903291
20.414,1.1,0.55,7.12468758,-0.2470416716616512
20.455,1.1,0.55,7.12468758,-0.06236789743588815
20.491,1.1,0.55,7.051717139999999,-0.06236789743588815
20.53,1.1,0.55,7.12468758,-0.2731713907692068
20.568,1.1,0.55,7.12468758,0.14538199884115954
20.607,1.1,0.55,7.12468758,0.5601285167898539
20.643,1.1,0.55,7.051717139999999,0.37545474256408795
20.667,1.1,0.55,7.12468758,0.18835105025640358
20.708,1.1,0.55,7.12468758,0.5862582358974322
20.747,1.1,0.55,7.12468758,0.5608186987854396
20.786,1.1,0.55,7.051717139999999,-0.009581412408311962
20.812,1.1,0.55,7.12468758,-0.009581412408311962
20.85,1.1,0.55,7.051717139999999,0.33129140633617454
20.886,1.1,0.55,7.051717139999999,0.31033170309952424
20.908,1.1,0.55,7.051717139999999,0.13307557354485766
20.944,1.1,0.55,7.12468758,0.3199131155078618
20.969,1.1,0.55,7.12468758,0.3199131155078618
